1-51234-31-052 KARL                          BRANDT                         08	18
1-51234-31-052 KARL                          GEBHARDT                       10	16
1-51234-31-052 HUGHES                        DEVOS                          20	04
1-51234-31-034 KEVIN                         NOBLES                         17	23
1-51234-31-034 JORDAN                        JOHNSON                        09	13
1-51234-31-034 MAGALI                        DEKEGHEL                       10	19
1-51234-31-037 JEANNE                        DARC                           22	08
1-51234-31-037 KAREL                         FLORES                         15	21
1-51234-31-037 GRISELLE                      PONSE                          12	20

